Model_rank,Model_name,Model type,Average_Spearman,Bootstrap_standard_error_Spearman,Low_MSA_depth,Medium_MSA_depth,High_MSA_depth,Human,Other Eukaryote,Prokaryote,Virus,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5+,Model details,References
1,TranceptEVE L,Hybrid model,0.472,0.0,0.46,0.463,0.508,0.44,0.518,0.514,0.454,0.472,0.444,0.456,0.389,0.464,TranceptEVE Large model (Tranception Large & retrieved EVE model),"<a href='https://www.biorxiv.org/content/10.1101/2022.12.07.519495v1?rss=1'>Notin, P., Van Niekerk, L., Kollasch, A., Ritter, D., Gal, Y. & Marks, D.S. &  (2022). TranceptEVE: Combining Family-specific and Family-agnostic Models of Protein Sequences for Improved Fitness Prediction. NeurIPS, LMRL workshop.</a>"
2,GEMME,Alignment-based model,0.459,0.007,0.44,0.451,0.497,0.423,0.504,0.488,0.458,0.455,0.397,0.384,0.35,0.437,GEMME model,"<a href='https://pubmed.ncbi.nlm.nih.gov/31406981/'>Laine, É., Karami, Y., & Carbone, A. (2019). GEMME: A Simple and Fast Global Epistatic Model Predicting Mutational Effects. Molecular Biology and Evolution, 36, 2604 - 2619.</a>"
3,EVE (ensemble),Alignment-based model,0.449,0.005,0.423,0.441,0.498,0.408,0.499,0.5,0.435,0.45,0.409,0.405,0.351,0.429,EVE model (ensemble of 5 independently-trained models),"<a href='https://www.nature.com/articles/s41586-021-04043-8'>Frazer, J., Notin, P., Dias, M., Gomez, A.N., Min, J.K., Brock, K.P., Gal, Y., & Marks, D.S. (2021). Disease variant prediction with deep generative models of evolutionary data. Nature.</a>"
4,Tranception L,Hybrid model,0.446,0.005,0.447,0.436,0.472,0.417,0.503,0.478,0.429,0.442,0.427,0.44,0.37,0.461,Tranception Large model (700M params) with retrieval,"<a href='https://proceedings.mlr.press/v162/notin22a.html'>Notin, P., Dias, M., Frazer, J., Marchena-Hurtado, J., Gomez, A.N., Marks, D.S., & Gal, Y. (2022). Tranception: Protein Fitness Prediction with Autoregressive Transformers and Inference-time Retrieval. ICML.</a>"
5,VESPA,Protein language model,0.444,0.01,0.426,0.426,0.516,0.411,0.505,0.529,0.384,0.439,0.381,0.351,0.283,0.34,VESPA model,"<a href='https://link.springer.com/article/10.1007/s00439-021-02411-y'>Marquet, C., Heinzinger, M., Olenyi, T., Dallago, C., Bernhofer, M., Erckert, K., & Rost, B. (2021). Embeddings from protein language models predict conservation and variant effects. Human Genetics, 141, 1629 - 1647.</a>"
6,EVE (single),Alignment-based model,0.443,0.005,0.415,0.434,0.494,0.4,0.489,0.493,0.433,0.442,0.406,0.407,0.35,0.431,EVE model (single seed),"<a href='https://www.nature.com/articles/s41586-021-04043-8'>Frazer, J., Notin, P., Dias, M., Gomez, A.N., Min, J.K., Brock, K.P., Gal, Y., & Marks, D.S. (2021). Disease variant prediction with deep generative models of evolutionary data. Nature.</a>"
7,MSA Transformer (ensemble),Hybrid model,0.432,0.012,0.398,0.426,0.485,0.394,0.487,0.498,0.398,0.433,0.374,0.401,0.351,0.418,MSA Transformer (ensemble of 5 MSA samples),"<a href='http://proceedings.mlr.press/v139/rao21a.html'>Rao, R., Liu, J., Verkuil, R., Meier, J., Canny, J.F., Abbeel, P., Sercu, T., & Rives, A. (2021). MSA Transformer. ICML.</a>"
8,Tranception M,Hybrid model,0.43,0.008,0.43,0.43,0.43,0.42,0.481,0.426,0.421,0.428,0.314,0.273,0.304,0.405,Tranception Medium model (300M params) with retrieval,"<a href='https://proceedings.mlr.press/v162/notin22a.html'>Notin, P., Dias, M., Frazer, J., Marchena-Hurtado, J., Gomez, A.N., Marks, D.S., & Gal, Y. (2022). Tranception: Protein Fitness Prediction with Autoregressive Transformers and Inference-time Retrieval. ICML.</a>"
9,DeepSequence (ensemble),Alignment-based model,0.421,0.009,0.393,0.403,0.498,0.4,0.493,0.492,0.348,0.419,0.394,0.407,0.353,0.436,DeepSequence model (ensemble of 5 independently-trained models),"<a href='https://www.nature.com/articles/s41592-018-0138-4'>Riesselman, A.J., Ingraham, J., & Marks, D.S. (2018). Deep generative models of genetic variation capture the effects of mutations. Nature Methods, 15, 816-822.</a>"
10,MSA Transformer (single),Hybrid model,0.421,0.013,0.382,0.416,0.472,0.381,0.488,0.487,0.382,0.422,0.358,0.388,0.339,0.411,MSA Transformer (single MSA sample),"<a href='http://proceedings.mlr.press/v139/rao21a.html'>Rao, R., Liu, J., Verkuil, R., Meier, J., Canny, J.F., Abbeel, P., Sercu, T., & Rives, A. (2021). MSA Transformer. ICML.</a>"
11,Tranception S,Hybrid model,0.419,0.009,0.436,0.41,0.429,0.404,0.477,0.418,0.413,0.415,0.329,0.278,0.3,0.403,Tranception Small model (85M params) with retrieval,"<a href='https://proceedings.mlr.press/v162/notin22a.html'>Notin, P., Dias, M., Frazer, J., Marchena-Hurtado, J., Gomez, A.N., Marks, D.S., & Gal, Y. (2022). Tranception: Protein Fitness Prediction with Autoregressive Transformers and Inference-time Retrieval. ICML.</a>"
